Site;Date de relevé;Energie consommée (kWh);Date;PE(kg);Année;Mois;KWh/Kg
PTWE49;;;2023-02-01;4542.5599999999995;2023;2;
PTWE89;2023-02-01;1584.0;2023-02-01;;2023;2;
PTWE35;2023-02-02;49699.0;2023-02-02;13658.93;2023;2;3.6385719818463085
PTWE42 Andrézieux;2023-02-02;5473.0;2023-02-02;2447.8;2023;2;2.2358852847454855
PTWE49;;;2023-02-02;6027.647999999999;2023;2;
PTWE89;2023-02-02;1559.0;2023-02-02;;2023;2;
PTWE35;2023-02-03;40240.0;2023-02-03;13442.01;2023;2;2.9935999154888293
PTWE42 Andrézieux;2023-02-03;3349.0;2023-02-03;2825.0;2023;2;1.1854867256637167
PTWE49;;;2023-02-03;5800.96;2023;2;
PTWE89;2023-02-03;832.0;2023-02-03;340.0;2023;2;2.447058823529412
PTWE35;2023-02-04;0.0;2023-02-04;;2023;2;
PTWE42 Andrézieux;2023-02-04;0.0;2023-02-04;;2023;2;
PTWE89;2023-02-04;0.0;2023-02-04;;2023;2;
PTWE35;2023-02-05;2222.0;2023-02-05;;2023;2;
PTWE42 Andrézieux;2023-02-05;747.0;2023-02-05;;2023;2;
PTWE89;2023-02-05;0.0;2023-02-05;;2023;2;
PTWE35;2023-02-06;43669.0;2023-02-06;12538.539999999999;2023;2;3.482781886886352
PTWE42 Andrézieux;2023-02-06;5088.0;2023-02-06;972.0;2023;2;5.234567901234568
PTWE49;;;2023-02-06;5682.16;2023;2;
PTWE89;2023-02-06;0.0;2023-02-06;;2023;2;
PTWE35;2023-02-07;44782.0;2023-02-07;10370.206;2023;2;4.318332731288076
PTWE42 Andrézieux;2023-02-07;4248.0;2023-02-07;2814.0;2023;2;1.5095948827292112
PTWE49;;;2023-02-07;6519.04;2023;2;
PTWE89;2023-02-07;4272.0;2023-02-07;;2023;2;
PTWE35;2023-02-08;44859.0;2023-02-08;10892.94;2023;2;4.118171953577271
PTWE42 Andrézieux;2023-02-08;5088.0;2023-02-08;1675.0;2023;2;3.0376119402985076
PTWE49;;;2023-02-08;6348.32;2023;2;
PTWE89;2023-02-08;4109.0;2023-02-08;1594.0;2023;2;2.5777917189460475
PTWE35;2023-02-09;47058.0;2023-02-09;11799.76;2023;2;3.988047214519617
PTWE42 Andrézieux;2023-02-09;5905.0;2023-02-09;2825.0;2023;2;2.090265486725664
PTWE49;;;2023-02-09;7281.12;2023;2;
PTWE89;2023-02-09;4419.0;2023-02-09;;2023;2;
PTWE35;2023-02-10;39189.0;2023-02-10;13195.654;2023;2;2.9698414341570336
PTWE42 Andrézieux;2023-02-10;3699.0;2023-02-10;2462.0;2023;2;1.5024370430544274
PTWE49;;;2023-02-10;6680.52;2023;2;
PTWE89;2023-02-10;2930.0;2023-02-10;1330.4;2023;2;2.202345159350571
PTWE35;2023-02-11;0.0;2023-02-11;;2023;2;
PTWE42 Andrézieux;2023-02-11;0.0;2023-02-11;;2023;2;
PTWE89;2023-02-11;0.0;2023-02-11;;2023;2;
PTWE35;2023-02-12;3160.0;2023-02-12;;2023;2;
PTWE42 Andrézieux;2023-02-12;689.0;2023-02-12;;2023;2;
PTWE89;2023-02-12;0.0;2023-02-12;;2023;2;
PTWE35;2023-02-13;49481.0;2023-02-13;12445.778;2023;2;3.9757257441037432
PTWE42 Andrézieux;2023-02-13;5940.0;2023-02-13;2070.0;2023;2;2.869565217391304
PTWE49;;;2023-02-13;6105.968;2023;2;
PTWE89;2023-02-13;4748.0;2023-02-13;;2023;2;
PTWE35;2023-02-14;47659.0;2023-02-14;12349.06;2023;2;3.8593220860535133
PTWE42 Andrézieux;2023-02-14;5777.0;2023-02-14;2544.0;2023;2;2.2708333333333335
PTWE49;;;2023-02-14;6236.208;2023;2;
PTWE89;2023-02-14;4341.0;2023-02-14;1215.95;2023;2;3.5700481105308604
PTWE35;2023-02-15;47980.0;2023-02-15;14269.539999999999;2023;2;3.362406917111554
PTWE42 Andrézieux;2023-02-15;5998.0;2023-02-15;2860.0;2023;2;2.0972027972027973
PTWE49;;;2023-02-15;6451.103999999999;2023;2;
PTWE89;2023-02-15;5317.0;2023-02-15;;2023;2;
PTWE35;2023-02-16;41724.0;2023-02-16;17159.72;2023;2;2.4315082064276106
PTWE42 Andrézieux;2023-02-16;5380.0;2023-02-16;2870.0;2023;2;1.8745644599303135
PTWE49;;;2023-02-16;7076.696;2023;2;
PTWE89;2023-02-16;4990.0;2023-02-16;1595.0;2023;2;3.128526645768025
PTWE35;2023-02-17;36391.0;2023-02-17;12414.315999999999;2023;2;2.9313737462458667
PTWE42 Andrézieux;2023-02-17;3618.0;2023-02-17;2572.0;2023;2;1.4066874027993779
PTWE49;;;2023-02-17;6949.448;2023;2;
PTWE89;2023-02-17;1843.0;2023-02-17;1895.0;2023;2;0.9725593667546174
PTWE35;2023-02-18;0.0;2023-02-18;;2023;2;
PTWE42 Andrézieux;2023-02-18;0.0;2023-02-18;;2023;2;
PTWE89;2023-02-18;0.0;2023-02-18;;2023;2;
PTWE35;2023-02-19;3358.0;2023-02-19;;2023;2;
PTWE42 Andrézieux;2023-02-19;642.0;2023-02-19;;2023;2;
PTWE89;2023-02-19;0.0;2023-02-19;;2023;2;
PTWE35;2023-02-20;49349.0;2023-02-20;12638.9;2023;2;3.9045328311799286
PTWE42 Andrézieux;2023-02-20;6033.0;2023-02-20;2531.6;2023;2;2.3830778954021175
PTWE49;;;2023-02-20;7964.527999999999;2023;2;
PTWE89;2023-02-20;5257.0;2023-02-20;1305.0;2023;2;4.028352490421456
PTWE35;2023-02-21;47967.0;2023-02-21;12433.022;2023;2;3.8580322627917814
PTWE42 Andrézieux;2023-02-21;5672.0;2023-02-21;2693.0;2023;2;2.1062012625324917
PTWE49;;;2023-02-21;4448.4;2023;2;
PTWE89;2023-02-21;3645.0;2023-02-21;1180.0;2023;2;3.0889830508474576
PTWE35;2023-02-22;45619.0;2023-02-22;13089.182;2023;2;3.4852445324696375
PTWE42 Andrézieux;2023-02-22;5695.0;2023-02-22;2807.0;2023;2;2.0288564303526897
PTWE49;;;2023-02-22;5982.24;2023;2;
PTWE89;2023-02-22;4759.0;2023-02-22;1256.0;2023;2;3.7890127388535033
PTWE35;2023-02-23;40560.0;2023-02-23;12935.022;2023;2;3.135673058770213
PTWE42 Andrézieux;2023-02-23;4085.0;2023-02-23;2634.0;2023;2;1.5508731966590736
PTWE49;;;2023-02-23;6129.728;2023;2;
PTWE89;2023-02-23;1978.0;2023-02-23;590.0;2023;2;3.352542372881356
PTWE35;2023-02-24;125.0;2023-02-24;12602.173999999999;2023;2;0.009918923512720902
PTWE42 Andrézieux;2023-02-24;1447.0;2023-02-24;2515.0;2023;2;0.5753479125248508
PTWE49;;;2023-02-24;6206.464;2023;2;
PTWE89;2023-02-24;0.0;2023-02-24;;2023;2;
PTWE35;2023-02-25;0.0;2023-02-25;;2023;2;
PTWE42 Andrézieux;2023-02-25;0.0;2023-02-25;;2023;2;
PTWE89;2023-02-25;0.0;2023-02-25;;2023;2;
PTWE35;2023-02-26;2362.0;2023-02-26;;2023;2;
PTWE42 Andrézieux;2023-02-26;149.0;2023-02-26;;2023;2;
PTWE89;2023-02-26;0.0;2023-02-26;;2023;2;
PTWE35;2023-02-27;42551.0;2023-02-27;;2023;2;
PTWE42 Andrézieux;2023-02-27;3853.0;2023-02-27;174.0;2023;2;22.14367816091954
PTWE89;2023-02-27;3066.0;2023-02-27;1370.0;2023;2;2.237956204379562
PTWE35;2023-02-28;39140.0;2023-02-28;21725.63;2023;2;1.80155880404849
PTWE42 Andrézieux;2023-02-28;4159.0;2023-02-28;3487.0;2023;2;1.192715801548609
PTWE49;;;2023-02-28;11263.56;2023;2;
PTWE89;2023-02-28;4775.0;2023-02-28;600.0;2023;2;7.958333333333333
PTWE35;2023-03-01;42918.0;2023-03-01;;2023;3;
PTWE42 Andrézieux;2023-03-01;4974.0;2023-03-01;;2023;3;
PTWE89;2023-03-01;3578.0;2023-03-01;1320.0;2023;3;2.7106060606060605
PTWE35;2023-03-02;47692.0;2023-03-02;12504.016;2023;3;3.8141345948373706
PTWE42 Andrézieux;2023-03-02;4536.0;2023-03-02;2450.0;2023;3;1.8514285714285714
PTWE49;;;2023-03-02;5835.3679999999995;2023;3;
PTWE89;2023-03-02;1163.0;2023-03-02;;2023;3;
PTWE35;2023-03-03;41868.0;2023-03-03;13919.784;2023;3;3.007805293530417
PTWE42 Andrézieux;2023-03-03;3542.0;2023-03-03;2222.0;2023;3;1.5940594059405941
PTWE49;;;2023-03-03;5783.36;2023;3;
PTWE89;2023-03-03;2318.0;2023-03-03;;2023;3;
PTWE35;2023-03-04;0.0;2023-03-04;;2023;3;
PTWE42 Andrézieux;2023-03-04;0.0;2023-03-04;;2023;3;
PTWE89;2023-03-04;0.0;2023-03-04;;2023;3;
PTWE35;2023-03-05;3165.0;2023-03-05;;2023;3;
PTWE42 Andrézieux;2023-03-05;;2023-03-05;;2023;3;
PTWE89;2023-03-05;0.0;2023-03-05;;2023;3;
PTWE35;2023-03-06;47955.0;2023-03-06;16267.184;2023;3;2.947959523910223
PTWE42 Andrézieux;2023-03-06;6274.0;2023-03-06;1927.0;2023;3;3.2558380902957964
PTWE49;;;2023-03-06;5869.6;2023;3;
PTWE89;2023-03-06;4952.0;2023-03-06;;2023;3;
PTWE35;2023-03-07;45299.0;2023-03-07;39268.61;2023;3;1.153567696946747
PTWE42 Andrézieux;2023-03-07;5976.0;2023-03-07;2294.4;2023;3;2.604602510460251
PTWE49;;;2023-03-07;6258.12;2023;3;
PTWE89;2023-03-07;4920.0;2023-03-07;;2023;3;
PTWE35;2023-03-08;45012.0;2023-03-08;12884.15;2023;3;3.493594843276429
PTWE42 Andrézieux;2023-03-08;4954.0;2023-03-08;2501.0;2023;3;1.9808076769292282
PTWE49;;;2023-03-08;7143.84;2023;3;
PTWE89;2023-03-08;4960.0;2023-03-08;;2023;3;
PTWE35;2023-03-09;44969.0;2023-03-09;13265.75;2023;3;3.389857339389028
PTWE42 Andrézieux;2023-03-09;5105.0;2023-03-09;2341.0;2023;3;2.1806920119607005
PTWE49;;;2023-03-09;7010.959999999999;2023;3;
PTWE89;2023-03-09;4869.0;2023-03-09;6016.0;2023;3;0.809341755319149
PTWE35;2023-03-10;39426.0;2023-03-10;13004.9;2023;3;3.0316265407654037
PTWE42 Andrézieux;2023-03-10;4340.0;2023-03-10;1831.4;2023;3;2.3697717593098173
PTWE49;;;2023-03-10;7096.32;2023;3;
PTWE89;2023-03-10;2280.0;2023-03-10;;2023;3;
PTWE35;2023-03-11;0.0;2023-03-11;;2023;3;
PTWE42 Andrézieux;2023-03-11;0.0;2023-03-11;;2023;3;
PTWE89;2023-03-11;0.0;2023-03-11;;2023;3;
PTWE35;2023-03-12;3087.0;2023-03-12;;2023;3;
PTWE42 Andrézieux;2023-03-12;527.0;2023-03-12;;2023;3;
PTWE89;2023-03-12;0.0;2023-03-12;;2023;3;
PTWE35;2023-03-13;44505.0;2023-03-13;12580.732;2023;3;3.5375525048939918
PTWE42 Andrézieux;2023-03-13;7725.0;2023-03-13;2187.6;2023;3;3.5312671420735056
PTWE49;;;2023-03-13;7227.44;2023;3;
PTWE89;2023-03-13;4958.0;2023-03-13;2044.0;2023;3;2.4256360078277885
PTWE35;2023-03-14;46036.0;2023-03-14;11913.018;2023;3;3.864344031042344
PTWE42 Andrézieux;2023-03-14;7167.0;2023-03-14;3211.8;2023;3;2.2314589949560992
PTWE49;;;2023-03-14;5917.12;2023;3;
PTWE89;2023-03-14;4787.0;2023-03-14;1323.3;2023;3;3.617471472833069
PTWE35;2023-03-15;42868.0;2023-03-15;12478.694;2023;3;3.435295392290251
PTWE42 Andrézieux;2023-03-15;6815.0;2023-03-15;3174.2;2023;3;2.1469976687039254
PTWE49;;;2023-03-15;6821.759999999999;2023;3;
