Site;Année;Mois;Semaine;Machine;Gaz (kWh);PE (kg)
PTWE35;2023.0;7.0;31;F4B;0.0;770.0
PTWE35;2023.0;7.0;31;FB;0.0;212.0
PTWE35;2023.0;7.0;31;M1;0.0;2247.52
PTWE35;2023.0;7.0;31;M2;0.0;2407.68
PTWE35;2023.0;7.0;31;M3;0.0;2411.2
PTWE35;2023.0;7.0;31;M8;0.0;2740.3199999999997
PTWE35;2023.0;7.0;31;RM2400;0.0;1020.0
PTWE35;2023.0;7.0;31;RM4500;0.0;704.0
PTWE35;2023.0;8.0;31;F3B;0.0;1854.3
PTWE35;2023.0;8.0;31;F4B;0.0;3129.11
PTWE35;2023.0;8.0;31;M1;0.0;8848.4
PTWE35;2023.0;8.0;31;M2;0.0;9123.84
PTWE35;2023.0;8.0;31;M3;0.0;8680.32
PTWE35;2023.0;8.0;31;M8;0.0;9106.944
PTWE35;2023.0;8.0;31;RM2400;0.0;4067.4
PTWE35;2023.0;8.0;31;RM4500;0.0;5061.76
PTWE35;2023.0;8.0;35;F3B;0.0;1158.7
PTWE35;2023.0;8.0;35;F4B;0.0;2158.53
PTWE35;2023.0;8.0;35;M1;0.0;4002.824
PTWE35;2023.0;8.0;35;M2;0.0;4942.08
PTWE35;2023.0;8.0;35;M3;0.0;3857.92
PTWE35;2023.0;8.0;35;M8;0.0;6993.447999999999
PTWE35;2023.0;8.0;35;RM2400;0.0;2870.4
PTWE35;2023.0;8.0;35;RM4500;0.0;2640.0
PTWE35;2023.0;9.0;35;F3B;0.0;531.9
PTWE35;2023.0;9.0;35;F4B;0.0;1535.99
PTWE35;2023.0;9.0;35;FB;0.0;201.0
PTWE35;2023.0;9.0;35;M1;0.0;4100.88
PTWE35;2023.0;9.0;35;M2;0.0;3421.4399999999996
PTWE35;2023.0;9.0;35;M3;0.0;3134.56
PTWE35;2023.0;9.0;35;M8;0.0;4500.144
PTWE35;2023.0;9.0;35;RM2400;0.0;1953.0
PTWE35;2023.0;9.0;35;RM4500;0.0;2288.0
PTWE35;2023.0;9.0;36;F3B;0.0;1274.45
PTWE35;2023.0;9.0;36;F4B;0.0;3082.36
PTWE35;2023.0;9.0;36;FB;0.0;984.0
PTWE35;2023.0;9.0;36;M1;0.0;9579.68
PTWE35;2023.0;9.0;36;M2;0.0;7729.92
PTWE35;2023.0;9.0;36;M3;0.0;7836.4
PTWE35;2023.0;9.0;36;M8;0.0;9451.64
PTWE35;2023.0;9.0;36;RM2400;0.0;3614.5
PTWE35;2023.0;9.0;36;RM4500;0.0;8923.2
PTWE35;2023.0;9.0;37;F3B;0.0;1371.05
PTWE35;2023.0;9.0;37;F4B;0.0;3460.06
PTWE35;2023.0;9.0;37;FB;0.0;1323.0
PTWE35;2023.0;9.0;37;M1;0.0;9943.72
PTWE35;2023.0;9.0;37;M2;0.0;10137.599999999999
PTWE35;2023.0;9.0;37;M3;0.0;9885.92
PTWE35;2023.0;9.0;37;M8;0.0;13046.088
PTWE35;2023.0;9.0;37;RM2400;0.0;2697.5
PTWE35;2023.0;9.0;37;RM4500;0.0;13685.76
PTWE35;2023.0;9.0;38;F3B;0.0;849.45
PTWE35;2023.0;9.0;38;F4B;0.0;3624.8
PTWE35;2023.0;9.0;38;FB;0.0;1597.0
PTWE35;2023.0;9.0;38;M1;0.0;4557.168
