Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;48;11;M1;0.0;6951.08
PTWE35;2023;48;11;M2;36451.8;18730.8
PTWE35;2023;48;11;M3;0.0;6510.24
PTWE35;2023;48;11;M8;0.0;12871.848
PTWE35;2023;48;11;RM2400;0.0;3580.0
PTWE35;2023;48;11;RM4500;10614.45;3456.64
PTWE35;2023;49;12;F3B;0.0;1240.9
PTWE35;2023;49;12;F4B;0.0;2014.1000000000001
PTWE35;2023;49;12;M1;0.0;2277.44
PTWE35;2023;49;12;M2;0.0;8363.52
PTWE35;2023;49;12;M3;0.0;8077.52
PTWE35;2023;49;12;M8;0.0;9358.008
PTWE35;2023;49;12;RM2400;0.0;3067.5
PTWE35;2023;49;12;RM4500;49988.4;4664.0
PTWE35;2023;50;12;F3B;0.0;1521.85
PTWE35;2023;50;12;F4B;0.0;2925.0
PTWE35;2023;50;12;FB;0.0;612.0
PTWE35;2023;50;12;M1;0.0;5836.4400000000005
PTWE35;2023;50;12;M2;0.0;11949.519999999999
PTWE35;2023;50;12;M3;0.0;1687.84
PTWE35;2023;50;12;M8;0.0;10934.44
PTWE35;2023;50;12;RM2400;0.0;4137.1
PTWE35;2023;50;12;RM4500;0.0;6248.0
PTWE35;2023;51;12;F3B;0.0;920.35
PTWE35;2023;51;12;F4B;0.0;2720.25
PTWE35;2023;51;12;FB;0.0;156.0
PTWE35;2023;51;12;M1;0.0;5024.5599999999995
PTWE35;2023;51;12;M2;0.0;6129.2
PTWE35;2023;51;12;M3;0.0;3014.0
PTWE35;2023;51;12;M8;0.0;8208.2
PTWE35;2023;51;12;RM2400;0.0;1068.0
PTWE35;2023;51;12;RM4500;0.0;1408.0
PTWE35;2024;1;1;F3B;0.0;559.05
PTWE35;2024;1;1;F4B;0.0;1712.6
PTWE35;2024;1;1;M1;0.0;3998.72
PTWE35;2024;1;1;M2;19669.65;5829.12
PTWE35;2024;1;1;M3;0.0;5304.64
PTWE35;2024;1;1;M8;0.0;5813.28
PTWE35;2024;1;1;RM2400;0.0;1042.5
PTWE35;2024;1;1;RM4500;0.0;1661.44
PTWE35;2024;2;1;F3B;0.0;958.65
PTWE35;2024;2;1;F4B;0.0;2347.64
PTWE35;2024;2;1;M1;0.0;8066.08
PTWE35;2024;2;1;M2;23411.850000000002;5829.12
PTWE35;2024;2;1;M3;0.0;6630.8
PTWE35;2024;2;1;M8;0.0;10619.52
PTWE35;2024;2;1;RM2400;0.0;1895.0
PTWE35;2024;2;1;RM4500;0.0;2907.52
PTWE35;2024;3;1;F3B;0.0;592.2
PTWE35;2024;3;1;F4B;3649.8;2783.945
PTWE35;2024;3;1;FB;0.0;560.0
PTWE35;2024;3;1;M1;0.0;3241.92
PTWE35;2024;3;1;M2;14356.650000000001;5068.8
PTWE35;2024;3;1;M3;0.0;6269.12
PTWE35;2024;3;1;M8;0.0;18320.544
PTWE35;2024;3;1;RM2400;0.0;4278.0
PTWE35;2024;3;1;RM4500;0.0;1640.32
PTWE35;2024;4;1;F3B;0.0;612.7
PTWE35;2024;4;1;F4B;2333.1000000000004;1200.28
PTWE35;2024;4;1;M1;0.0;6720.48
PTWE35;2024;4;1;M2;17717.7;5195.5199999999995
PTWE35;2024;4;1;M3;0.0;5063.52
PTWE35;2024;4;1;M8;0.0;8386.928
PTWE35;2024;4;1;RM2400;0.0;3277.5
PTWE35;2024;4;1;RM4500;0.0;1661.44
PTWE35;2024;5;2;F3B;0.0;782.05
PTWE35;2024;5;2;F4B;6237.0;4678.825
PTWE35;2024;5;2;FB;0.0;45.0
PTWE35;2024;5;2;M1;0.0;10454.4
PTWE35;2024;5;2;M2;30911.265000000003;9250.56
PTWE35;2024;5;2;M3;0.0;8439.2
PTWE35;2024;5;2;M8;0.0;11511.632000000001
PTWE35;2024;5;2;RM2400;0.0;3681.0
PTWE35;2024;5;2;RM4500;0.0;7346.24
PTWE35;2024;6;2;F3B;0.0;1215.24
PTWE35;2024;6;2;F4B;3927.0000000000005;2920.0
PTWE35;2024;6;2;M1;0.0;7189.96
PTWE35;2024;6;2;M2;25291.035000000003;7096.32
PTWE35;2024;6;2;M3;0.0;6751.36
PTWE35;2024;6;2;M8;0.0;8203.36
PTWE35;2024;6;2;RM2400;0.0;3029.8
PTWE35;2024;6;2;RM4500;0.0;1809.783
PTWE35;2024;7;2;F3B;0.0;396.0
PTWE35;2024;7;2;F4B;4342.8;2657.9
PTWE35;2024;7;2;FB;0.0;539.5
PTWE35;2024;7;2;M1;0.0;8291.56
PTWE35;2024;7;2;M2;22707.300000000003;6589.4400000000005
PTWE35;2024;7;2;M3;0.0;7113.04
PTWE35;2024;7;2;M8;0.0;10225.776
PTWE35;2024;7;2;RM2400;0.0;1109.1
PTWE35;2024;7;2;RM4500;0.0;7951.68
PTWE35;2024;8;2;F3B;0.0;484.0
PTWE35;2024;8;2;F4B;6075.3;2697.0
PTWE35;2024;8;2;M1;0.0;8385.12
PTWE35;2024;8;2;M2;23365.65;9104.48
PTWE35;2024;8;2;M3;0.0;3014.0
PTWE35;2024;8;2;M8;0.0;10332.344000000001
PTWE35;2024;8;2;RM2400;0.0;2452.5
PTWE35;2024;8;2;RM4500;0.0;4829.44
PTWE35;2024;9;3;F3B;0.0;495.8
PTWE35;2024;9;3;F4B;5509.35;2289.2
PTWE35;2024;9;3;FB;0.0;116.0
PTWE35;2024;9;3;M1;0.0;8850.24
PTWE35;2024;9;3;M2;30122.4;8217.44
PTWE35;2024;9;3;M3;0.0;4160.64
PTWE35;2024;9;3;M8;0.0;10239.592
PTWE35;2024;9;3;RM2400;0.0;2370.0
PTWE35;2024;9;3;RM4500;0.0;3769.92
PTWE35;2024;10;3;F3B;0.0;553.15
PTWE35;2024;10;3;F4B;4539.150000000001;2465.5
PTWE35;2024;10;3;M1;0.0;9522.36
PTWE35;2024;10;3;M2;30665.250000000004;8622.24
PTWE35;2024;10;3;M3;0.0;10011.76
PTWE35;2024;10;3;M8;0.0;10331.024
PTWE35;2024;10;3;RM2400;0.0;2996.5
PTWE35;2024;10;3;RM4500;0.0;7289.92
PTWE35;2024;11;3;F3B;0.0;1558.3
PTWE35;2024;11;3;F4B;5058.900000000001;2793.0
PTWE35;2024;11;3;M1;0.0;11098.08
PTWE35;2024;11;3;M2;30191.7;8479.68
PTWE35;2024;11;3;M3;0.0;11501.6
PTWE35;2024;11;3;M8;0.0;12189.144
PTWE35;2024;11;3;RM2400;0.0;3221.0
PTWE35;2024;11;3;RM4500;0.0;6589.44
PTWE35;2024;12;3;F3B;0.0;1616.45
PTWE35;2024;12;3;F4B;5012.700000000001;2839.0
PTWE35;2024;12;3;M1;0.0;9930.28
PTWE35;2024;12;3;M2;25363.800000000003;6079.04
PTWE35;2024;12;3;M3;0.0;8930.24
PTWE35;2024;12;3;M8;0.0;11250.36
PTWE35;2024;12;3;RM2400;0.0;3435.0
PTWE35;2024;12;3;RM4500;0.0;7063.467
PTWE35;2024;13;3;F3B;0.0;1071.48
PTWE35;2024;13;3;F4B;4677.75;2802.08
PTWE35;2024;13;3;FB;0.0;673.0
PTWE35;2024;13;3;M1;0.0;9650.28
PTWE35;2024;13;3;M2;30180.15;8870.400000000001
PTWE35;2024;13;3;M3;0.0;7474.719999999999
PTWE35;2024;13;3;M8;0.0;10605.32
PTWE35;2024;13;3;RM2400;0.0;2454.0
PTWE35;2024;13;3;RM4500;0.0;6015.68
PTWE35;2024;14;4;F3B;0.0;716.9
PTWE35;2024;14;4;F4B;3361.05;2594.14
PTWE35;2024;14;4;FB;0.0;438.5
PTWE35;2024;14;4;M1;0.0;9906.48
PTWE35;2024;14;4;M2;29741.250000000004;8997.119999999999
PTWE35;2024;14;4;M3;0.0;7956.96
PTWE35;2024;14;4;M8;0.0;13315.368
PTWE35;2024;14;4;RM2400;0.0;3900.0
PTWE35;2024;14;4;RM4500;0.0;4801.28
PTWE35;2024;15;4;F3B;0.0;675.0
PTWE35;2024;15;4;F4B;6364.05;2875.52
PTWE35;2024;15;4;M1;0.0;8780.640000000001
