Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;29;7;F4B;0.0;4091.94
PTWE35;2023;29;7;FB;0.0;741.0
PTWE35;2023;29;7;M1;0.0;11579.92
PTWE35;2023;29;7;M2;0.0;10391.04
PTWE35;2023;29;7;M3;0.0;10850.4
PTWE35;2023;29;7;M8;0.0;9752.423999999999
PTWE35;2023;29;7;RM2400;0.0;5017.5
PTWE35;2023;29;7;RM4500;0.0;7462.4
PTWE35;2023;30;7;F3B;0.0;2153.1000000000004
PTWE35;2023;30;7;F4B;0.0;3280.65
PTWE35;2023;30;7;FB;0.0;496.0
PTWE35;2023;30;7;M1;0.0;8827.76
PTWE35;2023;30;7;M2;0.0;11024.64
PTWE35;2023;30;7;M3;0.0;9644.8
PTWE35;2023;30;7;M8;0.0;8620.743999999999
PTWE35;2023;30;7;RM2400;0.0;4997.0
PTWE35;2023;30;7;RM4500;0.0;7131.52
PTWE35;2023;31;7;F3B;0.0;1854.3
PTWE35;2023;31;7;F4B;0.0;3129.1099999999997
PTWE35;2023;31;7;M1;0.0;8848.4
PTWE35;2023;31;7;M2;0.0;9123.84
PTWE35;2023;31;7;M3;0.0;8680.32
PTWE35;2023;31;7;M8;0.0;9106.944
PTWE35;2023;31;7;RM2400;0.0;4067.4
PTWE35;2023;31;7;RM4500;0.0;5061.76
PTWE35;2023;35;8;F3B;0.0;1690.6
PTWE35;2023;35;8;F4B;0.0;3694.52
PTWE35;2023;35;8;FB;0.0;201.0
PTWE35;2023;35;8;M1;0.0;8103.704
PTWE35;2023;35;8;M2;0.0;8363.52
PTWE35;2023;35;8;M3;0.0;6992.48
PTWE35;2023;35;8;M8;0.0;11493.592
PTWE35;2023;35;8;RM2400;0.0;4823.4
PTWE35;2023;35;8;RM4500;0.0;4928.0
PTWE35;2023;36;9;F3B;0.0;1551.85
PTWE35;2023;36;9;F4B;0.0;3762.36
PTWE35;2023;36;9;FB;0.0;1164.0
PTWE35;2023;36;9;M1;0.0;11346.4
PTWE35;2023;36;9;M2;0.0;9377.279999999999
PTWE35;2023;36;9;M3;0.0;10006.48
PTWE35;2023;36;9;M8;0.0;12580.92
PTWE35;2023;36;9;RM2400;0.0;4432.0
PTWE35;2023;36;9;RM4500;0.0;11260.48
PTWE35;2023;37;9;F3B;0.0;1330.1
PTWE35;2023;37;9;F4B;0.0;3457.56
PTWE35;2023;37;9;FB;0.0;1462.0
PTWE35;2023;37;9;M1;0.0;8177.0
PTWE35;2023;37;9;M2;0.0;10771.2
PTWE35;2023;37;9;M3;0.0;9524.24
PTWE35;2023;37;9;M8;0.0;11786.72
PTWE35;2023;37;9;RM2400;0.0;2420.0
PTWE35;2023;37;9;RM4500;0.0;13685.759999999998
