Site;Machine;Date;PE (kg)
PTWE35;F4B;2023-05-11;583.65
PTWE35;F4B;2023-05-12;624.5
PTWE35;F4B;2023-05-15;631.5
PTWE35;F4B;2023-05-16;900.4
PTWE35;F4B;2023-05-17;827.3
PTWE35;F4B;2023-05-22;225.7
PTWE35;F4B;2023-05-23;138.0
PTWE35;F4B;2023-05-24;756.082
PTWE35;F4B;2023-05-25;601.5
PTWE35;F4B;2023-05-26;637.8
PTWE35;F4B;2023-05-30;526.15
PTWE35;F4B;2023-05-31;526.0
PTWE35;F4B;2023-06-01;486.25
PTWE35;F4B;2023-06-02;858.0
PTWE35;F4B;2023-06-03;697.5
PTWE35;F4B;2023-06-06;605.795
PTWE35;F4B;2023-06-07;647.5
PTWE35;F4B;2023-06-08;792.8199999999999
PTWE35;F4B;2023-06-09;823.2
PTWE35;F4B;2023-06-12;613.44
PTWE35;F4B;2023-06-13;652.94
PTWE35;F4B;2023-06-14;793.8
PTWE35;F4B;2023-06-15;808.6800000000001
PTWE35;F4B;2023-06-16;793.8
PTWE35;F4B;2023-06-19;761.8
PTWE35;F4B;2023-06-20;539.68
PTWE35;F4B;2023-06-21;797.95
PTWE35;F4B;2023-06-22;810.45
PTWE35;F4B;2023-06-23;682.36
PTWE35;F4B;2023-06-27;584.2
PTWE35;F4B;2023-06-28;823.8
PTWE35;F4B;2023-06-29;803.8
PTWE35;F4B;2023-06-30;824.8
PTWE35;F4B;2023-07-03;707.1
PTWE35;F4B;2023-07-04;619.9
PTWE35;F4B;2023-07-05;641.5
PTWE35;F4B;2023-07-06;390.6
PTWE35;F4B;2023-07-07;833.96
PTWE35;F4B;2023-07-08;689.8
PTWE35;F4B;2023-07-10;11.7
PTWE35;F4B;2023-07-11;581.61
PTWE35;F4B;2023-07-12;662.63
PTWE35;F4B;2023-07-13;881.41
PTWE35;F4B;2023-07-17;652.5699999999999
PTWE35;F4B;2023-07-18;835.45
PTWE35;F4B;2023-07-19;773.2
PTWE35;F4B;2023-07-20;789.65
PTWE35;F4B;2023-07-21;803.4
PTWE35;F4B;2023-07-24;833.95
PTWE35;F4B;2023-07-25;90.0
PTWE35;F4B;2023-07-26;820.52
PTWE35;F4B;2023-07-27;800.13
PTWE35;F4B;2023-07-28;800.0
PTWE35;F4B;2023-07-31;770.0
PTWE35;F4B;2023-08-01;717.56
PTWE35;F4B;2023-08-02;853.56
PTWE35;F4B;2023-08-03;801.4300000000001
PTWE35;F4B;2023-08-04;756.56
PTWE35;F4B;2023-08-29;546.41
PTWE35;F4B;2023-08-30;798.56
PTWE35;F4B;2023-08-31;813.56
PTWE35;F4B;2023-09-01;813.56
PTWE35;F4B;2023-09-02;722.4300000000001
PTWE35;F4B;2023-09-05;886.36
PTWE35;F4B;2023-09-06;804.0
PTWE35;F4B;2023-09-07;742.0
PTWE35;F4B;2023-09-08;650.0
PTWE35;F4B;2023-09-11;680.0
PTWE35;F4B;2023-09-12;662.0
PTWE35;F4B;2023-09-13;788.5
PTWE35;F4B;2023-09-14;566.0
PTWE35;F4B;2023-09-15;763.56
PTWE35;F4B;2023-09-18;677.5
PTWE35;F4B;2023-09-19;451.3
PTWE35;F4B;2023-09-20;859.4
PTWE35;F4B;2023-09-21;740.4
PTWE35;F4B;2023-09-22;896.2
PTWE35;F4B;2023-09-25;719.7
PTWE35;F4B;2023-09-26;697.3
PTWE35;F4B;2023-09-27;882.4
PTWE35;F4B;2023-09-28;873.4
PTWE35;F4B;2023-09-29;725.3
PTWE35;F4B;2023-10-02;820.7
PTWE35;F4B;2023-10-03;589.8
PTWE35;F4B;2023-10-04;688.2
PTWE35;F4B;2023-10-05;653.2
PTWE35;F4B;2023-10-06;739.2
PTWE35;F4B;2023-10-07;660.5
PTWE35;F4B;2023-10-10;672.2
PTWE35;F4B;2023-10-11;806.4
PTWE35;F4B;2023-10-12;681.5
PTWE35;F4B;2023-10-13;478.6
